"STATION","NAME","DATE","ACMH","ACSH","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDFG","WDFM","WESD","WSF1","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT14","WT16","WT18"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-01","  100","  100"," 1906","0.50","    6","0.0","0.0",,"67","55","   42",,"  270","  270",,,"28.9","19.9","    1","    1","    1",,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-02","   80","   90"," 1824","0.00","   17","0.0","0.0",,"65","51","  132",,"  270","  270",,,"28.9","23.0",,,"    1",,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-03","   60","   60"," 1536","0.00","   57","0.0","0.0",,"65","50","  432",,"  360","  360",,,"21.9","15.0",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-04","   70","   90"," 2224","0.88","   27","0.0","0.0",,"59","49","  204",,"  270","  315",,,"30.0","23.9","    1",,"    1",,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-05","   50","   70"," 1324","0.00","   35","0.0","0.0",,"56","45","  270",,"  315","  270",,,"38.0","25.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-06","    0","    0"," 1354","0.00","  100","0.0","0.0",,"67","41","  768",,"  270","  270",,,"27.5","19.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-07","   70","   90"," 2354","0.20","   46","0.0","0.0",,"67","43","  354",,"   90","   90",,,"23.0","17.0","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-08","   90","  100"," 0936","0.39","    1","0.0","0.0",,"51","41","    6",,"   45","  360",,,"27.5","23.0","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-09","   40","   30"," 1718","0.00","   82","0.0","0.0",,"61","36","  636",,"  180","  180",,,"25.3","19.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-10","   70","   80"," 1748","0.20","   36","0.0","0.0",,"58","39","  282",,"  270","  270",,,"51.7","38.0",,,,,,,,,,,"    1","    1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-11","   50","   60"," 0854","0.00","   60","0.0","0.0",,"50","37","  474",,"  270","  315",,,"35.6","27.1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-12","   70","   90"," 0954","0.11","   24","0.0","0.0",,"46","33","  192",,"  225","  270",,,"32.2","17.9",,,,,,,,,,,"    1","    1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-13","   20","   30"," 1336","0.00","   95","0.0","0.0",,"54","33","  750",,"  360","  360",,,"30.0","25.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-14","    0","    0"," 1100","0.00","  100","0.0","0.0",,"59","32","  792",,"   90","  360",,,"17.2","14.1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-15","    0","    0"," 2148","0.00","  100","0.0","0.0",,"67","35","  792",,"  180","  135",,,"13.9","13.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-16","   70","  100"," 1206","0.00","   89","0.0","0.0",,"74","42","  714",,"  225","  225",,,"31.1","23.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-17","  100","  100"," 0230","0.00","    8","0.0","0.0",,"72","55","   66",,"  180","  180",,,"23.0","17.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-18","  100","  100"," 1236","0.02","   44","0.0","0.0",,"77","58","  354",,"  180","  180",,,"19.5","13.0",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-19","   80","   80"," 1606","0.00","   72","0.0","0.0",,"79","57","  576",,"  180","  135",,,"17.2","13.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-20","   80","   70"," 1400","0.00","   54","0.0","0.0",,"75","55","  438",,"  135","   90",,,"21.9","17.9",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-21","   50","   50"," 1636","0.00","   59","0.0","0.0",,"75","51","  480",,"  180","  180",,,"17.2","13.0",,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-22","   80","   90"," 1554","0.00","   78","0.0","0.0",,"86","60","  630",,"  180","  180",,,"26.4","17.0",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-23","   90","   90"," 1506","0.00","   50","0.0","0.0",,"83","59","  408",,"  180","  360",,,"31.1","21.0",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-24","   50","   40"," 1612","0.00","   96","0.0","0.0",,"77","54","  786",,"  270","  360",,,"15.0","11.0",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-25","  100","  100"," 1342","0.68","    0","0.0","0.0",,"64","50","    0",,"   45","   45",,,"23.0","21.0","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-26","  100","  100"," 0806","0.44","    0","0.0","0.0",,"57","52","    0",,"  360","  360",,,"18.3","15.0","    1",,,,,,,"    1",,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-27","  100","  100"," 0700","0.77","    0","0.0","0.0",,"56","50","    0",,"   45","   45",,,"30.0","25.1","    1",,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-28","   90","  100"," 1336","0.00","   27","0.0","0.0",,"60","49","  222",,"  270","  270",,,"41.4","29.1",,,,,,,,,,,"    1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-29","   10","    0"," 1200","0.00","   99","0.0","0.0",,"67","41","  822",,"  315","  315",,,"26.4","19.9",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1973-04-30","   90","  100"," 0930","0.00","   30","0.0","0.0",,"64","45","  252",,"   90","   90",,,"11.4","8.1",,,,,,,,,,,"    1",
